institution;period;euro;doi;backlist_oa;book_title
Université d'Orléans;2024;2000;10.35690/978-2-7592-4048-7;FALSE;Invasion et expansion d'insectes bioagresseurs forestiers. Quels risques pour la forêt française dans le contexte des changements globaux ?
Université Côte d'Azur - UCA;2024;6300;10.1007/978-3-031-55272-4;FALSE;Creative Applications of Artificial Intelligence in Education
CIRAD - Centre de coopération internationale en recherche agronomique pour le développement;2024;1500;10.35690/978-2-7592-4001-2;FALSE;Diversité des arthropodes du cotonnier et modalités de gestion
CIRAD - Centre de coopération internationale en recherche agronomique pour le développement;2024;1000;10.35690/978-2-7592-3932-0;FALSE;Exploiter durablement la forêt tropicale
CIRAD - Centre de coopération internationale en recherche agronomique pour le développement;2024;3200;10.35690/978-2-7592-3629-9;FALSE;Télédétection et modélisation spatiale
CIRAD - Centre de coopération internationale en recherche agronomique pour le développement;2024;3000;10.35690/978-2-7592-3935-1;FALSE;From jungle rubber to Rubber Agroforestry Systems
CentraleSupélec;2024;1300;10.1051/978-2-7598-3066-4;FALSE;Radical Innovation Design – A systematic and usage-driven innovation methodology to ensure usefulness for users and profitability for companies
"Université de Pau et des Pays de l&apos;Adour - UPPA";2024;7000;10.1007/978-3-031-46282-5;FALSE;The Power of Energy Justice & the Social Contract
Nantes Université;2024;10000;10.1163/9789004701175;FALSE;Global Citizenship Education - Modern Individualism under the Test of Cosmopolitanism 
Université de Versailles Saint-Quentin-en-Yvelines;2024;6400;10.11647/obp.0413;FALSE;Grotesque and Performance in the Art of Aubrey Beardsley
Sciences Po Paris - Institut d'Etudes Politiques de Paris;2024;2500;10.11116/9789461666383;FALSE;Textures of Power
Sciences Po Paris - Institut d'Etudes Politiques de Paris;2024;11671;10.4324/9781003456841;FALSE;The Struggle for Abolition: Power and Legitimacy in Multilateral Nuclear Disarmament Diplomacy
Université Panthéon-Sorbonne - Paris I;2024;7950;10.5117/9789463728584 ;FALSE;Audiovisual Thinking and the Essay Film. The Case of Francophone Europe
Université de Montpellier;2024;4220;10.35690/978-2-7592-4176-7;FALSE;Les Ports, un nouvel enjeu en écologie marine
