"","institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","url"
"1","lu",2024,2600.82,"10.3390/w17010063",FALSE,"MDPI AG","Water",NA,NA,NA,NA
"2","lu",2024,2400.76,"10.3390/su162410975",FALSE,"MDPI AG","Sustainability",NA,NA,NA,NA
"3","lu",2024,1800.57,"10.3390/nursrep14040297",FALSE,"MDPI AG","Nursing Reports",NA,NA,NA,NA
"4","lu",2024,1800.57,"10.3390/rel15121473",FALSE,"MDPI AG","Religions",NA,NA,NA,NA
"5","lu",2024,3046.15,"10.3390/nu16234073",FALSE,"MDPI AG","Nutrients",NA,NA,NA,NA
"6","lu",2024,2600.82,"10.3390/jcm13247629",FALSE,"MDPI AG","Journal of Clinical Medicine",NA,NA,NA,NA
"7","lu",2024,2700.85,"10.3390/rs16224166",FALSE,"MDPI AG","Remote Sensing",NA,NA,NA,NA
"8","lu",2024,2600.82,"10.3390/w16202970",FALSE,"MDPI AG","Water",NA,NA,NA,NA
"9","lu",2024,2600.82,"10.3390/jcm13195976",FALSE,"MDPI AG","Journal of Clinical Medicine",NA,NA,NA,NA
"10","lu",2024,2600.82,"10.3390/w16192818",FALSE,"MDPI AG","Water",NA,NA,NA,NA
"11","lu",2024,1470.56,"10.3390/asi7050093",FALSE,"MDPI AG","Applied System Innovation",NA,NA,NA,NA
"12","lu",2024,1700.54,"10.3390/ijgi13100348",FALSE,"MDPI AG","ISPRS International Journal of Geo-Information",NA,NA,NA,NA
"13","lu",2024,1800.57,"10.3390/rel15101180",FALSE,"MDPI AG","Religions",NA,NA,NA,NA
"14","lu",2024,2900.91,"10.3390/cancers16183242",FALSE,"MDPI AG","Cancers",NA,NA,NA,NA
"15","lu",2024,2900.91,"10.3390/cancers16183183",FALSE,"MDPI AG","Cancers",NA,NA,NA,NA
"16","lu",2024,2900.91,"10.3390/nu16173039",FALSE,"MDPI AG","Nutrients",NA,NA,NA,NA
"17","lu",2024,2900.91,"10.3390/nano14171440",FALSE,"MDPI AG","Nanomaterials",NA,NA,NA,NA
"18","lu",2024,2600.82,"10.3390/jcm13175096",FALSE,"MDPI AG","Journal of Clinical Medicine",NA,NA,NA,NA
"19","lu",2024,2600.82,"10.3390/en17174307",FALSE,"MDPI AG","Energies",NA,NA,NA,NA
"20","lu",2024,2600.82,"10.3390/d16080492",FALSE,"MDPI AG","Diversity",NA,NA,NA,NA
"21","lu",2024,2900.91,"10.3390/ijms25147665",FALSE,"MDPI AG","International Journal of Molecular Sciences",NA,NA,NA,NA
"22","lu",2024,2600.82,"10.3390/en17133097",FALSE,"MDPI AG","Energies",NA,NA,NA,NA
"23","lu",2024,2900.91,"10.3390/cancers16122261",FALSE,"MDPI AG","Cancers",NA,NA,NA,NA
"24","lu",2024,2600.82,"10.3390/jcm13102961",FALSE,"MDPI AG","Journal of Clinical Medicine",NA,NA,NA,NA
"25","lu",2024,2900.91,"10.3390/cancers16091711",FALSE,"MDPI AG","Cancers",NA,NA,NA,NA
"26","lu",2024,2600.82,"10.3390/en17071701",FALSE,"MDPI AG","Energies",NA,NA,NA,NA
"27","lu",2024,2600.82,"10.3390/en17071719",FALSE,"MDPI AG","Energies",NA,NA,NA,NA
"28","lu",2024,2900.91,"10.3390/nano14060518",FALSE,"MDPI AG","Nanomaterials",NA,NA,NA,NA
"29","lu",2024,2600.82,"10.3390/en17061362",FALSE,"MDPI AG","Energies",NA,NA,NA,NA
"30","lu",2024,1400.44,"10.3390/languages9030085",FALSE,"MDPI AG","Languages",NA,NA,NA,NA
"31","lu",2024,2600.82,"10.3390/s24051385",FALSE,"MDPI AG","Sensors",NA,NA,NA,NA
"32","lu",2024,2900.91,"10.3390/nano14050453",FALSE,"MDPI AG","Nanomaterials",NA,NA,NA,NA
"33","lu",2024,2900.91,"10.3390/nu16040498",FALSE,"MDPI AG","Nutrients",NA,NA,NA,NA
"34","lu",2024,2600.82,"10.3390/mi15020268",FALSE,"MDPI AG","Micromachines",NA,NA,NA,NA
"35","lu",2024,1000.31,"10.3390/wevj15020059",FALSE,"MDPI AG","World Electric Vehicle Journal",NA,NA,NA,NA
"36","lu",2024,1600.5,"10.3390/fi16030071",FALSE,"MDPI AG","Future Internet",NA,NA,NA,NA
"37","lu",2024,2400.76,"10.3390/universe10010046",FALSE,"MDPI AG","Universe",NA,NA,NA,NA
