"institution","period","chf","doi","is_hybrid","currency","euro"
"ZHAW Zurich University of Applied Sciences","2025","703.91","10.16993/sjdr.1204","false","CHF","751.21"
"ZHAW Zurich University of Applied Sciences","2025","1232.32","10.1183/23120541.00245-2025","false","CHF","1315.13"
"ZHAW Zurich University of Applied Sciences","2025","1425","10.3897/VCS.177197","false","CHF","1520.76"
"ZHAW Zurich University of Applied Sciences","2025","1506.68","10.1098/rsos.252164","false","CHF","1607.93"
"ZHAW Zurich University of Applied Sciences","2025","1510.11","10.1186/s41927-025-00575-y","false","CHF","1611.59"
"ZHAW Zurich University of Applied Sciences","2025","1556.64","10.3390/economies13090250","false","CHF","1661.25"
"ZHAW Zurich University of Applied Sciences","2025","1556.64","10.3390/economies13120365","false","CHF","1661.25"
"ZHAW Zurich University of Applied Sciences","2025","1586.35","10.2196/71425","false","CHF","1692.95"
"ZHAW Zurich University of Applied Sciences","2025","1865","10.3389/fdgth.2025.1607897","false","CHF","1990.33"
"ZHAW Zurich University of Applied Sciences","2025","1865","10.3389/fgwh.2025.1658534","false","CHF","1990.33"
"ZHAW Zurich University of Applied Sciences","2025","1865","10.3389/fnut.2025.1722145","false","CHF","1990.33"
"ZHAW Zurich University of Applied Sciences","2025","1865","10.3389/fphar.2025.1731629","false","CHF","1990.33"
"ZHAW Zurich University of Applied Sciences","2025","1865","10.3389/frai.2025.1604272","false","CHF","1990.33"
"ZHAW Zurich University of Applied Sciences","2025","1879.55","10.1136/bmjresp-2025-003303","false","CHF","2005.86"
"ZHAW Zurich University of Applied Sciences","2025","2047.3950000000002","10.1186/s12909-025-08317-x","false","CHF","2184.98"
"ZHAW Zurich University of Applied Sciences","2025","2047.3950000000002","10.1186/s13643-025-02951-8","false","CHF","2184.98"
"ZHAW Zurich University of Applied Sciences","2025","2047.3950000000002","10.1186/s13690-025-01813-y","false","CHF","2184.98"
"ZHAW Zurich University of Applied Sciences","2025","2056.03","10.3897/VCS.175402","false","CHF","2194.2"
"ZHAW Zurich University of Applied Sciences","2025","2075.52","10.3390/su17188394","false","CHF","2215.0"
"ZHAW Zurich University of Applied Sciences","2025","2248.48","10.3390/s25071961","false","CHF","2399.58"
"ZHAW Zurich University of Applied Sciences","2025","2284.545","10.1186/s12913-025-13868-2","false","CHF","2438.07"
"ZHAW Zurich University of Applied Sciences","2025","2306.85","10.1186/s12912-025-04179-2","false","CHF","2461.87"
